"","File.name","run","number","Ave.reads","Max.read","Tissue","Tissue2","Divergence","Diversity","Monkey","Week","Coinfection"
"1","Run0_1_",0,1,16097.9,16263,"Plasma","Plasma",1.7,1.65,"A22517",1,"Y"
"2","Run0_10",0,10,10804.4,10933,"Plasma","Plasma",2.23,1.91,"A22217",4,"Y"
"3","Run0_11",0,11,3116.6,3157,"Plasma","Plasma",1.68,1.62,"A22517",8,"Y"
"4","Run0_14",0,14,545.2,552,"Plasma","Plasma",2.34,1.58,"A22217",8,"Y"
"5","Run0_16",0,16,6434.5,6532,"Plasma","Plasma",2.82,1.81,"A22217",15,"Y"
"6","Run0_17",0,17,2890.9,2922,"Stock","Plasma",1.44,1.44,"B670_Stock",0,"Y"
"7","Run0_3_",0,3,24846,26446,"Plasma","Plasma",2,1.95,"A22117",1,"Y"
"8","Run0_5_",0,5,9764.8,9855,"Plasma","Plasma",1.87,1.8,"A22217",1,"Y"
"9","Run0_6_",0,6,11462.1,12137,"Plasma","Plasma",1.52,1.46,"A22517",4,"Y"
"10","Run0_8_",0,8,10998.4,12046,"Plasma","Plasma",1.68,1.63,"A22117",3,"Y"
"11","Run2_1_",2,1,10304.3,12332,"Plasma","Plasma",1.25,0.67,"A22517",16,"Y"
"12","Run2_10",2,10,12752.9,16218,"Plasma","Plasma",1.78,1.14,"A22117",16,"Y"
"13","Run2_11",2,11,9212,11643,"Plasma","Plasma",1.71,1.36,"A22117",21,"Y"
"14","Run2_13",2,13,8108.9,9900,"Plasma","Plasma",1.81,1.47,"A22117",31,"Y"
"15","Run2_19",2,19,6320.2,7723,"Plasma","Plasma",2.56,1.45,"A22217",24,"Y"
"16","Run2_20",2,20,8717.2,10091,"Plasma","Plasma",1.7,1.62,"A21918",1,"Y"
"17","Run2_21",2,21,11979.1,14140,"Plasma","Plasma",1.17,1.13,"A21918",3,"Y"
"18","Run2_22",2,22,10141.8,12074,"Plasma","Plasma",1.08,1.01,"A21918",8,"Y"
"19","Run2_5_",2,5,7948.6,9527,"Plasma","Plasma",2.06,0.94,"A22617",16,"Y"
"20","Run2_9_",2,9,5576,6906,"Plasma","Plasma",1.75,1.59,"A22117",8,"Y"
"21","Run3_1_",3,1,16530.6,17536,"Plasma","Plasma",0.96,0.7,"A22517",22,"Y"
"22","Run3_10",3,10,14482.8,15127,"Plasma","Plasma",2.02,0.99,"A22217",19,"Y"
"23","Run3_11",3,11,19071.7,20239,"Plasma","Plasma",1.84,1.49,"A22217",22,"Y"
"24","Run3_12",3,12,17680.8,18473,"Plasma","Plasma",1.33,0.75,"A21918",17,"Y"
"25","Run3_13",3,13,12536.7,13098,"Plasma","Plasma",1.47,0.7,"A21918",19,"Y"
"26","Run3_14",3,14,17499.7,18265,"Plasma","Plasma",1.53,0.59,"A21918",22,"Y"
"27","Run3_15",3,15,14463.6,15092,"Plasma","Plasma",1.5,1.25,"A23918",17,"Y"
"28","Run3_16",3,16,19963.7,20864,"Plasma","Plasma",1.33,1.11,"A23918",19,"Y"
"29","Run3_17",3,17,23209.8,24255,"Plasma","Plasma",1.57,1.52,"A21818",1,"Y"
"30","Run3_18",3,18,20584.4,21475,"Plasma","Plasma",1.57,1.52,"A22218",1,"Y"
"31","Run3_19",3,19,2214,2543,"Plasma","Plasma",1.64,1.59,"A22318",1,"Y"
"32","Run3_2_",3,2,16810.7,18495,"Plasma","Plasma",1.36,0.65,"A22517",25,"Y"
"33","Run3_20",3,20,19147,20089,"Plasma","Plasma",1.57,1.52,"A23218",1,"Y"
"34","Run3_21",3,21,23752.1,24829,"Plasma","Plasma",1.58,1.53,"A23518",1,"Y"
"35","Run3_22",3,22,24904.4,26372,"Plasma","Plasma",1.51,1.47,"A24018",1,"Y"
"36","Run3_23",3,23,3980.8,4033,"Plasma","Plasma",1.81,1.6,"A24018",6,"Y"
"37","Run3_3_",3,3,14562.2,15445,"Plasma","Plasma",1.27,0.77,"A22517",32,"Y"
"38","Run3_4_",3,4,18380.7,19444,"Plasma","Plasma",0.84,0.71,"A22617",22,"Y"
"39","Run3_5_",3,5,16269.1,17764,"Plasma","Plasma",1.55,1.26,"A22617",25,"Y"
