"","sample","MF","MF_PID","MFover0.1","MFover0.1_PID","Depth.ave","Depth.ave_PID","Depth.min","Depth.min_PID","Depth.max","Depth.max_PID","no.of.sites","no.of.sites_PID"
"1","Run0_1_",0.0152726090402652,0.0187258526201947,0.392501829048848,0.42325609594819,55030.2857142857,16953.9250535332,10845,14861,70021,31726,13,18
"2","Run0_10",0.0213213657614222,0.0249326197286961,0.483777601994116,0.471809617368335,51255.9765625,11308.2526766595,10000,10090,70021,20968,15,21
"3","Run0_11",0.0135590776581178,0.0192286376633826,0.37031414186137,0.345260015202528,30798.9704142012,3258.31049250535,10078,2861,42383,5941,10,19
"4","Run0_14",0.021365445613239,0.0270426655927795,0.617591967201113,0.48714956378681,41157.8511235955,565.680942184154,10381,507,57645,1053,10,21
"5","Run0_16",0.0225733725063918,0.0318933516724565,0.610491026000945,0.480337919604831,49305.1639344262,6685.73661670236,10025,6042,70020,12380,12,27
"6","Run0_17",0.0107932406063558,0.0159661088286241,0.277851174685321,0.285815228499341,37294.8623595506,3042.2591006424,10000,2678,51236,5583,11,19
"7","Run0_3_",0.0191718055402188,0.0221038958822486,0.426794360288504,0.435942493354733,56839.6608910891,27085.4561027837,10090,23366,70022,49312,16,19
"8","Run0_5_",0.0194413146974594,0.0209333585091071,0.457210903372838,0.463064688432711,53586.5438596491,10264.0064239829,10085,8930,70022,19247,15,19
"9","Run0_6_",0.0155240860447754,0.0169504328095293,0.3311295264926,0.337800678876496,53707.2537313433,12688.6830835118,10026,11165,70021,23738,16,20
"10","Run0_8_",0.0152080052253406,0.0184508720212605,0.325754332249398,0.324396139474566,51240.0826873385,12554.721627409,10121,11158,70021,23231,15,21
"11","Run2_1_",0.00578185065339269,0.0263569240740711,0.224854968675877,0.249569230815587,56324.3858267717,11019.626450116,11321,1078,70021,12539,3,29
"12","Run2_11",0.0151867630144724,0.0308867954490016,0.353813291591973,0.285951593977784,56157.5924369748,10294.0092592593,10483,1016,70023,11902,9,35
"13","Run2_13",0.0160761584519522,0.0315878912400002,0.344114494988881,0.264055694362011,56134.1887550201,8839.20470588235,10193,1173,70021,10024,10,34
"14","Run2_18",0.028769641360838,0.0368908348815647,0.60359579369253,0.37160714459814,53543.3875598086,4672.74234693878,12407,1060,70023,5098,9,30
