Run,File name,Monkey,SIV_infection,Week,#
3,Run3_1_,A22517,SIVw22,22,S1
3,Run3_10,A22217,SIVw19,19,S10
3,Run3_11,A22217,SIVw22,22,S11
3,Run3_12,A21918,SIVw17,17,S12
3,Run3_13,A21918,SIVw19,19,S13
3,Run3_14,A21918,SIVw22,22,S14
3,Run3_15,A23918,SIVw17,17,S15
3,Run3_16,A23918,SIVw19,19,S16
3,Run3_17,A21818,SIVw1,1,S17
3,Run3_18,A22218,SIVw1,1,S18
3,Run3_19,A22318,SIVw1,1,S19
3,Run3_2_,A22517,SIVw25,25,S2
3,Run3_20,A23218,SIVw1,1,S20
3,Run3_21,A23518,SIVw1,1,S21
3,Run3_22,A24018,SIVw1,1,S22
3,Run3_23,A24018,SIVw6,6,S23
3,Run3_3_,A22517,SIVw32 nex,32,S3
3,Run3_4_,A22617,SIVw22,22,S4
3,Run3_5_,A22617,SIVw25,25,S5
3,Run3_6_,A22617,SIVw33 nex,33,S6
3,Run3_7_,A22317,SIVw21,21,S7
3,Run3_8_,A22317,SIVw24,24,S8
3,Run3_9_,A22317,SIVw28 nex,28,S9
2,Run2_1_,A22517,SIVw16,16,S1
2,Run2_13,A22117,SIVw31,31,S12
2,Run2_14,A22317,SIVw24,24,S13
2,Run2_15,A22317,SIVw28 nex,28,S14
2,Run2_16,A22217,SIVw19,19,S15
2,Run2_17,A22217,SIVw22,22,S16
2,Run2_18,A22217,SIVw24 nex,24,S17
2,Run2_19,A21918,SIVw1,1,S18
2,Run2_2_,A22517,SIVw22,22,S2
2,Run2_20,A21918,SIVw3,3,S19
2,Run2_21,A21918,SIVw8,8,S20
2,Run2_22,A23918,SIVw1,1,S21
2,Run2_3_,A22517,SIVw25,25,S3
2,Run2_4_,A22517,SIVw32 nex,32,S4
2,Run2_9_,A22117,SIVw8,8,S9
2,Run2_24,A23918,SIVw4,4,S23
2,Run2_11,A22117,SIVw21,21,S11
0,Run0_11,A22517,SIVw8,8,S11
0,Run0_12,A22617,SIVw8,8,S12
0,Run0_13,A22317,SIVw8,8,S13
0,Run0_14,A22217,SIVw8,8,S14
0,Run0_15,A22317,SIVw16,16,S15
0,Run0_16,A22217,SIVw15,15,S16
0,Run0_17,B670_Stock,0,0,S17
0,Run0_1_,A22517,SIVw1,1,S1
0,Run0_5_,A22217,SIVw1,1,S5
0,Run0_2_,A22617,SIVw1,1,S2
0,Run0_3_,A22117,SIVw1,1,S3
0,Run0_4_,A22317,SIVw1,1,S4
0,Run0_6_,A22517,SIVw4,4,S6
0,Run0_7_,A22617,SIVw4,4,S7
0,Run0_8_,A22117,SIVw3,3,S8
0,Run0_9_,A22317,SIVw4,4,S9
0,Run0_10,A22217,SIVw4,4,S10
