"","Week","VL","Monkey"
"1",0,160,"22517"
"3",1,4643351464,"22517"
"4",2,1948590445,"22517"
"6",4,84027468.45,"22517"
"7",6,27744436.47,"22517"
"8",8,78477376.58,"22517"
"9",12,47151013.78,"22517"
"11",16,36367065.47,"22517"
"16",21,26636332.08,"22517"
"17",22,168750086,"22517"
"18",23,124794323.3,"22517"
"20",25,104736211.3,"22517"
"22",27,26806066.08,"22517"
"24",29,17593015.11,"22517"
"26",31,17521623.02,"22517"
"27",32,9530073.812,"22517"
"12",0,160,"22617"
"31",1,7888945425,"22617"
"41",2,2117790150,"22617"
"61",4,410104337.4,"22617"
"71",6,116721902.7,"22617"
"81",8,114178964.7,"22617"
"91",12,136069646.3,"22617"
"111",16,13320009.42,"22617"
"161",21,28703028.24,"22617"
"171",22,71963103.58,"22617"
"181",23,48910590.05,"22617"
"201",25,33228710.39,"22617"
"221",27,4698723.039,"22617"
"241",29,5603334.503,"22617"
"261",31,1149613.259,"22617"
"28",33,4835050.861,"22617"
"13",0,160,"22117"
"2",0.4,46393037.63,"22117"
"32",1,21179266135,"22117"
"42",2,539557718.7,"22117"
"5",3,225928388,"22117"
"62",4,23303700,"22117"
"72",6,25623254.69,"22117"
"82",8,35449830.81,"22117"
"92",12,5197913.924,"22117"
"112",16,12452067.25,"22117"
"15",20,31955195.91,"22117"
"162",21,33917674.59,"22117"
"172",22,5699257.798,"22117"
"19",24,3308183.117,"22117"
"21",26,6080586.203,"22117"
"23",28,23912730.08,"22117"
"25",30,5049024.471,"22117"
"262",31,19784520.11,"22117"
"14",0,160,"22317"
"29",0.4,222466667.8,"22317"
"33",1,10821311408,"22317"
"43",2,2467297454,"22317"
"51",3,1205463660,"22317"
"63",4,179271400,"22317"
"73",6,179446649.5,"22317"
"83",8,380537967.8,"22317"
"93",12,156685265.7,"22317"
"113",16,364616821.6,"22317"
"151",20,343322440.6,"22317"
"163",21,355918024.5,"22317"
"173",22,70580043.47,"22317"
"191",24,50047435.19,"22317"
"211",26,37732542.57,"22317"
"231",28,25111024.66,"22317"
"110",0,160,"22217"
"34",1,6382775761,"22217"
"44",2,870016700,"22217"
"52",3,375356255.7,"22217"
"64",4,210255310.8,"22217"
"74",6,89164846.28,"22217"
"84",8,120895900,"22217"
"94",12,566698690.7,"22217"
"114",16,824160085.2,"22217"
"131",18,448511850.2,"22217"
"141",19,970731662.9,"22217"
"152",20,260570937,"22217"
"174",22,69058046.45,"22217"
"192",24,86927832.8,"22217"
"115",0,160,"21918"
"210",0.4,72909357.3,"21918"
"35",1,30828285971,"21918"
"53",3,388721890.7,"21918"
"75",6,359399242.5,"21918"
"85",8,601244375,"21918"
"95",12,347855688.5,"21918"
"10",15,731073377.4,"21918"
"121",17,619650831.1,"21918"
"132",18,657351504.9,"21918"
"142",19,795034534.7,"21918"
"153",20,608727540.3,"21918"
"175",22,196020414.2,"21918"
"193",24,212954541.8,"21918"
"116",0,160,"23918"
"212",0.4,75743747.76,"23918"
"36",1,9854287591,"23918"
"45",2,3960746233,"23918"
"65",4,2589421596,"23918"
"76",6,795929501.7,"23918"
"86",8,2047518899,"23918"
"96",12,3926034970,"23918"
"101",15,4719296045,"23918"
"122",17,1505562089,"23918"
"143",19,1050673858,"23918"
"154",20,1109948597,"23918"
"164",21,844971491.2,"23918"
"117",0,160,"34119"
"37",1,1909186257,"34119"
"46",2,146734179.5,"34119"
"54",3,50745021.52,"34119"
"66",4,14778659.21,"34119"
"77",6,25028548.5,"34119"
"87",8,164353785.6,"34119"
"97",12,25306417.68,"34119"
"102",15,22740979.4,"34119"
"123",17,9398169.096,"34119"
"133",18,28799803.78,"34119"
"144",19,40008547.35,"34119"
"155",20,14733827.33,"34119"
"165",21,16749888.18,"34119"
"176",22,33853997.26,"34119"
"194",24,76463456.71,"34119"
"202",25,113199545.5,"34119"
"213",26,104877731.9,"34119"
"232",28,256301657.7,"34119"
"251",30,70643227.89,"34119"
"118",0,160,"34219"
"38",1,737154317.5,"34219"
"47",2,66581584.77,"34219"
"55",3,50650850.71,"34219"
"67",4,1880565.192,"34219"
"78",6,9706296.266,"34219"
"88",8,22784229.48,"34219"
"98",12,2346955.377,"34219"
"103",15,2851295.684,"34219"
"124",17,2386210.38,"34219"
"134",18,1126210.053,"34219"
"145",19,2187837.242,"34219"
"156",20,1785524.825,"34219"
"166",21,1021260.833,"34219"
"177",22,26404280.99,"34219"
"195",24,28218891.51,"34219"
"203",25,44283415.49,"34219"
"214",26,16065606.84,"34219"
"252",30,22356553.74,"34219"
