Week,22517,22617,22117,22317,22217,21918,23918,34119,34219
0,160,160,160,160,160,160,160,160,160
0.4,,,46393037.63,222466667.8,,72909357.3,75743747.76,,
1,4643351464,7888945425,21179266135,10821311408,6382775761,30828285971,9854287591,1909186257,737154317.5
2,1948590445,2117790150,539557718.7,2467297454,870016700,,3960746233,146734179.5,66581584.77
3,,,225928388,1205463660,375356255.7,388721890.7,,50745021.52,50650850.71
4,84027468.45,410104337.4,23303700,179271400,210255310.8,,2589421596,14778659.21,1880565.192
6,27744436.47,116721902.7,25623254.69,179446649.5,89164846.28,359399242.5,795929501.7,25028548.5,9706296.266
8,78477376.58,114178964.7,35449830.81,380537967.8,120895900,601244375,2047518899,164353785.6,22784229.48
12,47151013.78,136069646.3,5197913.924,156685265.7,566698690.7,347855688.5,3926034970,25306417.68,2346955.377
15,,,,,,731073377.4,4719296045,22740979.4,2851295.684
16,36367065.47,13320009.42,12452067.25,364616821.6,824160085.2,,,,
17,,,,,,619650831.1,1505562089,9398169.096,2386210.38
18,,,,,448511850.2,657351504.9,,28799803.78,1126210.053
19,,,,,970731662.9,795034534.7,1050673858,40008547.35,2187837.242
20,,,31955195.91,343322440.6,260570937,608727540.3,1109948597,14733827.33,1785524.825
21,26636332.08,28703028.24,33917674.59,355918024.5,,,844971491.2,16749888.18,1021260.833
22,168750086,71963103.58,5699257.798,70580043.47,69058046.45,196020414.2,,33853997.26,26404280.99
23,124794323.3,48910590.05,,,,,,,
24,,,3308183.117,50047435.19,86927832.8,212954541.8,,76463456.71,28218891.51
25,104736211.3,33228710.39,,,,,,113199545.5,44283415.49
26,,,6080586.203,37732542.57,,,,104877731.9,16065606.84
27,26806066.08,4698723.039,,,,,,,
28,,,23912730.08,25111024.66,,,,256301657.7,
29,17593015.11,5603334.503,,,,,,,
30,,,5049024.471,,,,,70643227.89,22356553.74
31,17521623.02,1149613.259,19784520.11,,,,,,
32,9530073.812,,,,,,,,
33,,4835050.861,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
