"","file","Total","no_gaps","no_Ns","no_missing","TotalCleanReads","WTcount","Singleton","PercentWT","PercentSingleton"
"73","Run6_13",36,36,36,35,99,0,21,0,21.2121212121212
"74","Run6_14",52,52,52,52,243,1,25,0.411522633744856,10.2880658436214
"75","Run6_15",39,39,39,39,86,0,25,0,29.0697674418605
"76","Run6_16",36,36,36,36,63,0,23,0,36.5079365079365
"77","Run6_17",16,16,16,16,17,0,15,0,88.2352941176471
"78","Run6_18",18,18,18,18,54,0,13,0,24.0740740740741
"79","Run6_19",31,31,31,30,89,0,20,0,22.4719101123595
"80","Run6_2_",28,27,27,27,118,1,12,0.847457627118644,10.1694915254237
"81","Run6_20",40,40,40,40,122,0,23,0,18.8524590163934
"82","Run6_21",37,37,37,37,182,0,19,0,10.4395604395604
"83","Run6_22",37,37,37,37,199,0,18,0,9.04522613065327
"84","Run6_23",34,34,34,34,170,0,17,0,10
"85","Run6_24",26,26,26,26,52,0,17,0,32.6923076923077
"86","Run6_3_",53,52,52,50,140,0,26,0,18.5714285714286
"87","Run6_4_",24,24,24,23,205,0,6,0,2.92682926829268
"88","Run6_5_",15,15,15,14,65,0,2,0,3.07692307692308
"89","Run6_6_",46,46,46,43,555,0,21,0,3.78378378378378
"90","Run6_7_",20,20,20,18,167,0,5,0,2.9940119760479
"91","Run6_8_",31,31,31,31,259,0,18,0,6.94980694980695
"92","Run6_9_",26,26,26,26,270,0,12,0,4.44444444444444
"93","Run7_10",30,30,30,30,311,0,7,0,2.2508038585209
"94","Run7_11",32,32,32,31,486,0,10,0,2.05761316872428
"95","Run7_12",31,31,31,31,168,54,18,32.1428571428571,10.7142857142857
"96","Run7_13",46,46,46,45,375,58,14,15.4666666666667,3.73333333333333
"97","Run7_14",34,34,34,32,428,0,11,0,2.57009345794392
"98","Run7_15",24,24,24,24,174,0,12,0,6.89655172413793
"99","Run7_16",43,43,43,42,197,0,26,0,13.1979695431472
"100","Run7_17",74,74,73,71,1423,172,31,12.087139845397,2.17849613492621
"101","Run7_18",36,36,36,35,1301,7,7,0.5380476556495,0.5380476556495
"102","Run7_19",129,129,129,122,1516,16,43,1.05540897097625,2.83641160949868
"103","Run7_20",16,16,16,16,46,15,6,32.6086956521739,13.0434782608696
"104","Run7_21",41,41,41,40,211,0,18,0,8.53080568720379
"105","Run7_22",29,28,28,28,276,54,14,19.5652173913043,5.07246376811594
"106","Run7_23",71,71,71,70,457,34,38,7.43982494529541,8.31509846827133
"107","Run7_24",40,40,40,39,340,0,15,0,4.41176470588235
"108","Run7_9_",537,527,204,192,15199,3147,85,20.7053095598395,0.559247318902559
