"","file","Total","no_Xs","TotalCleanReads","WTcount","Singleton","Doubleton","PercentWT","PercentSingleton","PercentDoubleton"
"47","Run4_19",256,245,9467,155,114,34,1.63726629344037,1.20418295130453,0.359142283722404
"48","Run4_20",780,719,12178,155,342,99,1.27278699293809,2.80834291345048,0.812941369683035
"49","Run4_21",263,244,18518,4119,111,34,22.2432228102387,0.599416783669943,0.183605140943946
"50","Run4_22",331,307,10405,449,153,31,4.31523306102835,1.47044690052859,0.297933685728015
"51","Run4_23",273,262,8650,26,114,38,0.300578034682081,1.31791907514451,0.439306358381503
"52","Run5_1_",21,20,315,36,5,6,11.4285714285714,1.58730158730159,1.9047619047619
"53","Run5_10",56,55,171,0,29,9,0,16.9590643274854,5.26315789473684
"54","Run5_11",19,19,67,0,13,0,0,19.4029850746269,0
"55","Run5_12",147,143,3172,237,60,20,7.47162673392182,1.89155107187894,0.630517023959647
"56","Run5_13",399,374,9262,812,164,60,8.76700496652991,1.77067587993954,0.647808248758368
"57","Run5_14",126,107,417,0,52,20,0,12.4700239808153,4.79616306954436
"58","Run5_15",102,101,2644,1099,47,16,41.5658093797277,1.77760968229955,0.605143721633888
"59","Run5_16",29,28,274,6,13,5,2.18978102189781,4.74452554744525,1.82481751824817
"60","Run5_17",65,64,577,0,25,13,0,4.33275563258232,2.25303292894281
"61","Run5_2_",56,56,556,37,28,8,6.65467625899281,5.03597122302158,1.43884892086331
"62","Run5_3_",50,50,394,124,18,7,31.4720812182741,4.56852791878173,1.77664974619289
"63","Run5_4_",26,26,87,1,20,0,1.14942528735632,22.9885057471264,0
"64","Run5_5_",30,30,116,16,16,8,13.7931034482759,13.7931034482759,6.89655172413793
"65","Run5_6_",34,29,258,1,11,4,0.387596899224806,4.26356589147287,1.55038759689922
"66","Run5_7_",20,20,80,3,11,2,3.75,13.75,2.5
"67","Run5_8_",32,32,125,53,21,2,42.4,16.8,1.6
"68","Run5_9_",47,42,95,0,25,7,0,26.3157894736842,7.36842105263158
"69","Run6_1_",37,32,52,0,21,6,0,40.3846153846154,11.5384615384615
"70","Run6_10",43,43,299,0,26,5,0,8.69565217391304,1.67224080267559
"71","Run6_11",34,34,216,0,19,6,0,8.7962962962963,2.77777777777778
"72","Run6_12",25,25,74,11,17,0,14.8648648648649,22.972972972973,0
"73","Run6_13",42,42,100,0,29,5,0,29,5
"74","Run6_14",40,39,99,0,25,6,0,25.2525252525253,6.06060606060606
"75","Run6_15",60,60,243,0,31,15,0,12.7572016460905,6.17283950617284
"76","Run6_16",43,43,86,0,30,1,0,34.8837209302326,1.16279069767442
"77","Run6_17",39,39,63,0,27,7,0,42.8571428571429,11.1111111111111
"78","Run6_18",16,16,17,0,15,1,0,88.2352941176471,5.88235294117647
"79","Run6_19",19,19,54,0,14,1,0,25.9259259259259,1.85185185185185
"80","Run6_2_",34,25,48,0,17,4,0,35.4166666666667,8.33333333333333
"81","Run6_20",32,31,118,1,16,6,0.847457627118644,13.5593220338983,5.08474576271187
"82","Run6_21",37,37,122,0,20,5,0,16.3934426229508,4.0983606557377
"83","Run6_22",41,41,182,0,24,5,0,13.1868131868132,2.74725274725275
"84","Run6_23",48,48,199,0,30,7,0,15.0753768844221,3.51758793969849
"85","Run6_24",41,41,170,0,23,5,0,13.5294117647059,2.94117647058824
"86","Run6_3_",28,24,39,0,18,3,0,46.1538461538462,7.69230769230769
"87","Run6_4_",56,46,109,0,23,8,0,21.1009174311927,7.3394495412844
"88","Run6_5_",32,29,199,0,10,5,0,5.0251256281407,2.51256281407035
"89","Run6_6_",18,16,64,0,5,4,0,7.8125,6.25
"90","Run6_7_",59,55,549,0,29,8,0,5.28233151183971,1.45719489981785
"91","Run6_8_",25,23,165,0,11,4,0,6.66666666666667,2.42424242424242
"92","Run6_9_",37,37,259,0,20,6,0,7.72200772200772,2.31660231660232
"93","Run7_10",33,33,270,0,17,4,0,6.2962962962963,1.48148148148148
"94","Run7_11",36,35,310,0,12,6,0,3.87096774193548,1.93548387096774
"95","Run7_12",45,44,486,0,18,4,0,3.7037037037037,0.823045267489712
"96","Run7_13",32,32,168,54,18,2,32.1428571428571,10.7142857142857,1.19047619047619
